Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";Connaissance;"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée";"Présence d'un contour valide"
2018;5;46;46284;Saint-Michel-Loubéjou;"2018-02-27 14:16:00";Indéterminé;;20000;0;;20000;;;20000;0;0;0;Estimées;;;;;;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;8;12;12076;Conques-en-Rouergue;"2018-02-27 14:07:00";Indéterminé;;120000;0;;120000;;;120000;0;0;0;Estimées;;;;;;Coordinateur;Malveillance;Non;Non;;;;;;;;;Non
2018;13;46;46164;Lavercantière;"2018-04-02 21:51:00";Indéterminé;;2000;2000;;0;;;0;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;16;43;43136;Monistrol-d'Allier;"2018-04-07 15:41:00";Indéterminé;;47440;44110;;3330;;;0;3330;0;3330;Mesurées;;;;;;;;Non;Non;;;;;;;;;Non
2018;17;46;46148;Lalbenque;"2018-04-07 09:50:00";Indéterminé;;100;0;;100;;;100;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;18;46;46005;Anglars-Juillac;"2018-04-06 14:34:00";Indéterminé;;200;0;;200;;;200;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;19;46;46170;Leyme;"2018-04-07 12:44:00";Indéterminé;;20000;0;;20000;;;20000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;21;17;17038;Bedenac;"2018-04-17 13:45:00";Indéterminé;;35000;35000;;0;;;0;0;0;0;Mesurées;;;;;;;;Non;Non;;;;;;;;;Non
2018;22;17;17110;Clérac;"2018-04-17 14:23:00";Indéterminé;;2000;2000;;0;;;0;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;23;81;81292;Tanus;"2018-04-18 18:45:00";Indéterminé;;400;0;;400;;;400;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;26;43;43082;Cronce;"2018-04-21 12:44:00";Indéterminé;;76568;76568;;0;;;0;0;0;0;Mesurées;;;;;;Coordinateur;Accidentelle;Non;Non;;;;;;;;;Non
2018;28;12;12100;Firmi;"2018-04-06 12:33:00";Indéterminé;;20000;0;;20000;;;20000;0;0;0;Estimées;;;;;;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;30;12;12071;Compolibat;"2018-04-07 12:55:00";Indéterminé;;5000;0;;5000;;;5000;0;0;0;Estimées;;;;;;Coordinateur;Accidentelle;Non;Non;;;;;;;;;Non
2018;37;46;46020;Beauregard;"2018-04-13 18:00:00";Indéterminé;;1500;0;;1500;;;1500;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;38;46;46042;Cahors;"2018-04-16 16:13:00";Indéterminé;;100;0;;100;;;100;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;39;46;46170;Leyme;"2018-04-17 05:08:00";Indéterminé;;200;0;;200;;;200;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;40;46;46030;Bio;"2018-04-17 16:22:00";Indéterminé;;200;0;;200;;;200;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;41;46;46011;Autoire;"2018-04-18 14:53:00";Indéterminé;;2000;0;;2000;;;2000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;42;46;46121;Ginouillac;"2018-04-18 16:38:00";Indéterminé;;1500;0;;1500;;;1500;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;43;46;46042;Cahors;"2018-04-19 15:50:00";Indéterminé;;4000;0;;4000;;;4000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;44;46;46063;Castelnau-Montratier;"2018-04-20 11:28:00";Indéterminé;;500;0;;500;;;500;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;45;46;46201;Montcuq-en-Quercy-Blanc;"2018-04-20 11:31:00";Indéterminé;;15000;0;;15000;;;15000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;46;46;46063;Castelnau-Montratier;"2018-04-21 14:46:00";Indéterminé;;10000;0;;10000;;;10000;0;0;0;Mesurées;;;;;;;;Non;Non;;;;;;;;;Non
2018;47;17;17198;Juicq;"2018-04-24 16:43:00";Indéterminé;;3300;3300;;0;;;0;0;0;0;Mesurées;;;;;;;;Non;Non;;;;;;;;;Non
2018;48;46;46303;Sénaillac-Lauzès;"2018-04-26 14:16:00";Indéterminé;;600;0;;600;;;600;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;51;46;46251;Saint-Céré;"2018-04-28 13:58:00";Indéterminé;;150;0;;150;;;150;0;0;0;Estimées;;;;;;Coordinateur;"Involontaire (travaux)";Non;Non;;;;;;;;;Non
2018;52;46;46019;Beaumat;"2018-04-28 16:25:00";Indéterminé;;20000;0;;20000;;;20000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;53;49;49101;Clefs;"2018-05-05 08:00:00";Indéterminé;;80000;60000;;20000;;;20000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;54;49;49209;Montigné-lès-Rairies;"2018-05-06 08:00:00";Indéterminé;;30000;30000;;0;;;0;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;55;17;17378;Saint-Palais-de-Négrignac;"2018-05-18 22:21:00";Indéterminé;;9500;9500;;0;;;0;0;0;0;Mesurées;;;;;;Coordinateur;Malveillance;Non;Non;;;;;;;;;Non
2018;56;46;46113;Frayssinet;"2018-06-13 14:31:00";Indéterminé;;150;0;;150;;;150;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;58;46;46113;Frayssinet;"2018-06-24 16:10:00";Indéterminé;;10000;0;;10000;;;10000;0;0;0;Estimées;;;;;;Coordinateur;Accidentelle;Non;Non;;;;;;;;;Non
2018;61;43;43192;Saint-Haon;"2018-06-27 21:33:00";Indéterminé;;3387;3387;;0;;;0;0;0;0;Mesurées;;;;;;Coordinateur;Accidentelle;Non;Non;;;;;;;;;Non
2018;62;46;46240;Rocamadour;"2018-06-27 16:26:00";Indéterminé;;10000;0;;10000;;;10000;0;0;0;Estimées;;;;;;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;63;46;46128;Gramat;"2018-06-27 19:26:00";Indéterminé;;100;0;;100;;;100;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;66;46;46086;Cuzance;"2018-06-28 17:59:00";Indéterminé;;150;0;;150;;;150;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;75;46;46316;Thédirac;"2018-06-30 13:15:00";Indéterminé;;30000;0;;30000;;;30000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;76;46;46118;Gignac;"2018-06-30 13:40:00";Indéterminé;;5000;0;;5000;;;5000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;77;46;46244;Sabadel-Latronquière;"2018-06-30 13:43:00";Indéterminé;;5000;0;;5000;;;5000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;78;17;17225;"Mathes (Les)";"2018-06-21 16:20:00";Indéterminé;;300;300;;0;;;0;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;79;17;17225;"Mathes (Les)";"2018-06-27 16:38:00";Indéterminé;;5000;5000;;0;;;0;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;80;46;46201;Montcuq-en-Quercy-Blanc;"2018-07-04 18:10:00";Indéterminé;;15000;0;;15000;;;15000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;114;46;46042;Cahors;"2018-07-08 12:51:00";Indéterminé;;150;0;;150;;;150;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;115;46;46284;Saint-Michel-Loubéjou;"2018-07-09 16:36:00";Indéterminé;;500;0;;500;;;500;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;116;46;46128;Gramat;"2018-07-11 13:27:00";Indéterminé;;1000;0;;1000;;;1000;0;0;0;Estimées;;;;;;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;117;46;46327;Valroufié;"2018-07-11 16:41:00";Indéterminé;;1500;1500;;0;;;0;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;119;46;46148;Lalbenque;"2018-07-12 22:35:00";Indéterminé;;200;0;;200;;;200;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;120;46;46064;Catus;"2018-07-13 17:39:00";Indéterminé;;2000;0;;2000;;;2000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;121;46;46047;Calès;"2018-07-22 18:12:00";Indéterminé;;30000;0;;30000;;;30000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;135;46;46113;Frayssinet;"2018-07-26 11:37:00";Indéterminé;;3000;0;;3000;;;3000;0;0;0;Estimées;;;;;;Coordinateur;"Involontaire (particulier)";Non;Non;;;;;;;;;Non
2018;139;46;46080;Crayssac;"2018-07-26 17:37:00";Indéterminé;;6000;0;;6000;;;6000;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;140;46;46067;Cazillac;"2018-07-26 19:24:00";Indéterminé;;900;0;;900;;;900;0;0;0;Estimées;;;;;;;;Non;Non;;;;;;;;;Non
2018;141;46;46142;Lacapelle-Cabanac;"2018-07-27 00:51:00";Indéterminé;;100;0;;100;;;100;0;0;0;Mesurées;;;;;;;;Non;Non;;;;;;;;;Non
